Date,18/03/2026
Alloy,Price
"24ct Fine Gold,""2780"""
,
"22ct Standard White Gold,""2663,40"""
"22ct Standard Yellow Gold,""2561,60"""
"22ct Standard Rose Gold,""2557,60"""
,
"18ct White Gold 20% PT,""2361,80"""
"18ct White Gold 20% PD,""2314,60"""
"18ct White Gold 17.5% PD,""2288,60"""
"18ct White Gold 15% PD,""2262,80"""
"18ct White Gold 12.5% PD,""2236,80"""
"18ct White Gold 10% PD,""2210,80"""
"18ct White Gold 0% PD,""2202,60"""
"18ct Standard Yellow Gold,""2101,80"""
"18ct Standard Rose Gold,""2097,20"""
"18ct Standard Peach Gold,""2099,40"""
,
"14ct White Gold 20% PT,""1903,40"""
"14ct White Gold 17.5% PD,""1830,40"""
"14ct White Gold 15% PD,""1804,40"""
"14ct White Gold 12.5% PD,""1778,40"""
"14ct White Gold 10% PD,""1752,60"""
"14ct White Gold 7.5% PD,""1726,60"""
"14ct White Gold 0% PD,""1712,40"""
"14ct Standard Yellow Gold,""1635,00"""
"14ct Standard Rose Gold,""1630,60"""
"14ct Standard Peach Gold,""1632,80"""
,
"9ct White Gold 20% PT,""1333,20"""
"9ct White Gold 15% PD,""1234,20"""
"9ct White Gold 12.5% PD,""1208,20"""
"9ct White Gold 10% PD,""1182,40"""
"9ct White Gold 7.5% PD,""1156,40"""
"9ct White Gold 5% PD,""1130,40"""
"9ct White Gold 0% PD,""1110,40"""
"9ct Standard Yellow Gold,""1054,20"""
"9ct Standard Rose Gold,""1050,00"""
"9ct Standard Peach Gold,""1052,20"""
,
"Fine Silver,""51,60"""
"Sterling Silver,""47,80"""
"Tarnish Resistant Silver,""47,80"""
"Platinum Silver,""147,00"""
,
"Fine Platinum,""1324,60"""
"Platinum AU,""1397,40"""
"Platinum CU,""1258,60"""
,
"Fine Palladium,""1089,00"""
"Palladium AU,""1173,40"""
"Palladium CU,""1034,60"""
